error_both,condition
0.0813987895723819,fixed
0.063090820208406,fixed
0.0517279102203924,fixed
0.0917885300869414,fixed
0.0649288262756822,fixed
0.0750937535281413,fixed
0.0544873745808489,fixed
0.116468663353022,fixed
0.0645350049890003,fixed
0.0857639459040159,fixed
0.0626235528864568,fixed
0.0725981897854312,fixed
0.0673148138595033,fixed
0.0527940780844368,fixed
0.07950290611044,fixed
0.0790588403365002,fixed
0.0787276912825014,fixed
0.0756465149056747,fixed
0.0995563175055345,fixed
0.0841664668477581,fixed
0.0583847295416844,fixed
0.133242108113128,fixed
0.0730830739284852,fixed
0.0610179227704632,fixed
0.0750775550818991,fixed
0.0613620124497969,fixed
0.0696113558932132,fixed
0.054916331446109,fixed
0.0945378821114749,fixed
0.061746177111963,fixed
0.0720550257688296,fixed
0.0781021526822901,fixed
0.0672469420849048,fixed
0.0738902926973461,fixed
0.0813087615695427,fixed
0.0860531914405656,fixed
0.0519350699642424,fixed
0.0819573446592438,fixed
0.0755736531415946,fixed
0.0735217479297302,fixed
0.0818069494961068,fixed
0.0959662538622651,fixed
0.0831056978293985,fixed
0.067173765554239,fixed
0.0804244407201622,knee
0.097395068525887,knee
0.0969838663733181,knee
0.0759952759760121,knee
0.0856636698355923,knee
0.0902275573895359,knee
0.0650430261896571,knee
0.0778221580307455,knee
0.0472484349551204,knee
0.0396581127746811,knee
0.0431646272055081,knee
0.0661156821478198,knee
0.0725629943493244,knee
0.0589703879737132,knee
0.0623235696701223,knee
0.0574737710385077,knee
0.0793101077975082,knee
0.0598375322539302,knee
0.0935120719026358,knee
0.0844462315054362,knee
0.0518781286593463,knee
0.0417628416619811,knee
0.0929589955605516,knee
0.0923081233544557,knee
0.118504472318071,knee
0.0791765392126274,knee
0.104296342155005,knee
0.0510064645866742,knee
0.0384118122868605,knee
0.033335967415058,knee
0.0678717588723893,knee
0.0726313567969701,knee
0.0808768094511772,knee
0.053476035844836,knee
0.0331466335090884,knee
0.080135131478112,knee
0.0586651774588414,knee
0.0418174887414271,knee
0.0751308359148346,knee
0.0749763179085471,knee
0.0794648518766867,knee
0.101951280361151,knee
0.0614620119911897,knee
0.0552749098468653,knee
