HR,condition,oscillation
0.244471744471744,BOSC,theta
0,BOSC,theta
0.28009828009828,BOSC,theta
0.49017199017199,BOSC,theta
0.363636363636364,BOSC,theta
0.496314496314496,BOSC,theta
0.4004914004914,BOSC,theta
0.273955773955774,BOSC,theta
0.416461916461916,BOSC,theta
0.882063882063882,BOSC,theta
0.80958230958231,BOSC,theta
0.912776412776413,BOSC,theta
0.245700245700246,BOSC,theta
0,BOSC,theta
0.278869778869779,BOSC,theta
0.754299754299754,BOSC,theta
0.310810810810811,BOSC,theta
0.777641277641278,BOSC,theta
0.292383292383292,BOSC,theta
0,BOSC,theta
0.308353808353808,BOSC,theta
0.86977886977887,BOSC,theta
0.384520884520885,BOSC,theta
0.905405405405405,BOSC,theta
0.968058968058968,BOSC,theta
0.85012285012285,BOSC,theta
0.986486486486487,BOSC,theta
0.242014742014742,BOSC,theta
0,BOSC,theta
0.266584766584767,BOSC,theta
0.616707616707617,BOSC,theta
0,BOSC,theta
0.654791154791155,BOSC,theta
0.675675675675676,BOSC,theta
0,BOSC,theta
0.7002457002457,BOSC,theta
0.488943488943489,BOSC,theta
0.415233415233415,BOSC,theta
0.5,BOSC,theta
0.718673218673219,BOSC,theta
0.445945945945946,BOSC,theta
0.743243243243243,BOSC,theta
0.991400491400491,BOSC,theta
0.766584766584767,BOSC,theta
0.995085995085995,BOSC,theta
0.644963144963145,BOSC,theta
0.283783783783784,BOSC,theta
0.651105651105651,BOSC,theta
0.35995085995086,BOSC,theta
0.293611793611794,BOSC,theta
0.380835380835381,BOSC,theta
0.55036855036855,BOSC,theta
0,BOSC,theta
0.615479115479115,BOSC,theta
0.900491400491401,BOSC,theta
0.656019656019656,BOSC,theta
0.923832923832924,BOSC,theta
0.726044226044226,BOSC,theta
0.266584766584767,BOSC,theta
0.746928746928747,BOSC,theta
1,BOSC,theta
0.708845208845209,BOSC,theta
1,BOSC,theta
0.218673218673219,BOSC,theta
0,BOSC,theta
0.22972972972973,BOSC,theta
0.62039312039312,BOSC,theta
0.377149877149877,BOSC,theta
0.665847665847666,BOSC,theta
0.515970515970516,BOSC,theta
0,BOSC,theta
0.541769041769042,BOSC,theta
0.878378378378378,BOSC,theta
0.781326781326781,BOSC,theta
0.904176904176904,BOSC,theta
0.228501228501229,BOSC,theta
0,BOSC,theta
0.391891891891892,BOSC,theta
0.984029484029484,BOSC,theta
0.609336609336609,BOSC,theta
0.991400491400491,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0.871007371007371,BOSC,theta
0,BOSC,theta
0.884520884520885,BOSC,theta
0.772727272727273,BOSC,theta
0.312039312039312,BOSC,theta
0.78992628992629,BOSC,theta
0.542997542997543,BOSC,theta
0,BOSC,theta
0.765356265356265,BOSC,theta
0.540540540540541,BOSC,theta
0,BOSC,theta
0.57002457002457,BOSC,theta
1,BOSC,theta
0.791154791154791,BOSC,theta
1,BOSC,theta
0.441031941031941,BOSC,theta
0,BOSC,theta
0.498771498771499,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0.62039312039312,BOSC,theta
0.498771498771499,BOSC,theta
0.401719901719902,BOSC,theta
0.528255528255528,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0.52948402948403,BOSC,theta
0.273955773955774,BOSC,theta
0.544226044226044,BOSC,theta
0.670761670761671,BOSC,theta
0.255528255528256,BOSC,theta
0.816953316953317,BOSC,theta
0.555282555282555,BOSC,theta
0,BOSC,theta
0.571253071253071,BOSC,theta
0.69041769041769,BOSC,theta
0,BOSC,theta
0.72972972972973,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0.0147420147420147,BOSC,theta
0.275184275184275,BOSC,theta
0,BOSC,theta
