HR,condition,oscillation
1,BOSC,theta
0.58968058968059,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.831695331695332,BOSC,theta
1,BOSC,theta
0.823095823095823,BOSC,theta
0.441031941031941,BOSC,theta
0.867321867321867,BOSC,theta
1,BOSC,theta
0.98034398034398,BOSC,theta
1,BOSC,theta
0.902948402948403,BOSC,theta
0.641277641277641,BOSC,theta
0.917690417690418,BOSC,theta
0.894348894348894,BOSC,theta
0.828009828009828,BOSC,theta
0.916461916461916,BOSC,theta
0.959459459459459,BOSC,theta
0.34029484029484,BOSC,theta
0.976658476658477,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.995085995085995,BOSC,theta
1,BOSC,theta
0.952088452088452,BOSC,theta
0.481572481572482,BOSC,theta
0.964373464373464,BOSC,theta
1,BOSC,theta
0.767813267813268,BOSC,theta
1,BOSC,theta
0.788697788697789,BOSC,theta
0.72972972972973,BOSC,theta
0.808353808353808,BOSC,theta
0.572481572481572,BOSC,theta
0.501228501228501,BOSC,theta
0.592137592137592,BOSC,theta
1,BOSC,theta
0.701474201474201,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.996314496314496,BOSC,theta
1,BOSC,theta
0.912776412776413,BOSC,theta
0.681818181818182,BOSC,theta
0.934889434889435,BOSC,theta
0.846437346437346,BOSC,theta
0.49017199017199,BOSC,theta
0.883292383292383,BOSC,theta
0.786240786240786,BOSC,theta
0.670761670761671,BOSC,theta
0.80958230958231,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.826781326781327,BOSC,theta
0.755528255528256,BOSC,theta
0.845208845208845,BOSC,theta
1,BOSC,theta
0.996314496314496,BOSC,theta
1,BOSC,theta
0.829238329238329,BOSC,theta
0.658476658476658,BOSC,theta
1,BOSC,theta
0.901719901719902,BOSC,theta
0.631449631449631,BOSC,theta
0.912776412776413,BOSC,theta
0.733415233415233,BOSC,theta
0.556511056511056,BOSC,theta
0.965601965601966,BOSC,theta
0.960687960687961,BOSC,theta
0.92014742014742,BOSC,theta
0.972972972972973,BOSC,theta
0.882063882063882,BOSC,theta
0.577395577395577,BOSC,theta
0.906633906633907,BOSC,theta
1,BOSC,theta
0.996314496314496,BOSC,theta
1,BOSC,theta
0.312039312039312,BOSC,theta
0,BOSC,theta
0.345208845208845,BOSC,theta
0.91031941031941,BOSC,theta
0.670761670761671,BOSC,theta
0.922604422604423,BOSC,theta
0.94963144963145,BOSC,theta
0.810810810810811,BOSC,theta
0.975429975429975,BOSC,theta
0.900491400491401,BOSC,theta
0.802211302211302,BOSC,theta
0.933660933660934,BOSC,theta
0.695331695331695,BOSC,theta
0.577395577395577,BOSC,theta
0.766584766584767,BOSC,theta
1,BOSC,theta
0.986486486486487,BOSC,theta
1,BOSC,theta
0.804668304668305,BOSC,theta
0.454545454545455,BOSC,theta
0.964373464373464,BOSC,theta
0.523341523341523,BOSC,theta
0,BOSC,theta
0.554054054054054,BOSC,theta
0.906633906633907,BOSC,theta
0.615479115479115,BOSC,theta
0.944717444717445,BOSC,theta
0.745700245700246,BOSC,theta
0.458230958230958,BOSC,theta
0.782555282555283,BOSC,theta
0.544226044226044,BOSC,theta
0,BOSC,theta
0.691646191646192,BOSC,theta
0.872235872235872,BOSC,theta
0.547911547911548,BOSC,theta
0.905405405405405,BOSC,theta
1,BOSC,theta
0.941031941031941,BOSC,theta
1,BOSC,theta
0.711302211302211,BOSC,theta
0.593366093366093,BOSC,theta
0.971744471744472,BOSC,theta
0.974201474201474,BOSC,theta
0.915233415233415,BOSC,theta
0.984029484029484,BOSC,theta
0.852579852579853,BOSC,theta
0,BOSC,theta
0.862407862407862,BOSC,theta
0.814496314496315,BOSC,theta
0.288697788697789,BOSC,theta
0.888206388206388,BOSC,theta
0.953316953316953,BOSC,theta
0.899262899262899,BOSC,theta
0.968058968058968,BOSC,theta
0.65970515970516,BOSC,theta
0.525798525798526,BOSC,theta
0.680589680589681,BOSC,theta
1,BOSC,theta
0.646191646191646,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.971744471744472,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.995085995085995,BOSC,theta
1,BOSC,theta
0.98034398034398,BOSC,theta
0.584766584766585,BOSC,theta
0.987714987714988,BOSC,theta
0.944717444717445,BOSC,theta
0.846437346437346,BOSC,theta
0.958230958230958,BOSC,theta
0.788697788697789,BOSC,theta
0.625307125307125,BOSC,theta
0.842751842751843,BOSC,theta
0.984029484029484,BOSC,theta
0.943488943488944,BOSC,theta
0.998771498771499,BOSC,theta
0.771498771498772,BOSC,theta
0.701474201474201,BOSC,theta
0.901719901719902,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.969287469287469,BOSC,theta
1,BOSC,theta
0.902948402948403,BOSC,theta
0.310810810810811,BOSC,theta
0.918918918918919,BOSC,theta
1,BOSC,theta
0.361179361179361,BOSC,theta
1,BOSC,theta
0.885749385749386,BOSC,theta
0.802211302211302,BOSC,theta
0.906633906633907,BOSC,theta
1,BOSC,theta
0.836609336609337,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.785012285012285,BOSC,theta
0.708845208845209,BOSC,theta
0.99017199017199,BOSC,theta
0.778869778869779,BOSC,theta
0.423832923832924,BOSC,theta
0.85012285012285,BOSC,theta
0.993857493857494,BOSC,theta
0.965601965601966,BOSC,theta
0.998771498771499,BOSC,theta
0.821867321867322,BOSC,theta
0.732186732186732,BOSC,theta
0.845208845208845,BOSC,theta
0.674447174447175,BOSC,theta
0.310810810810811,BOSC,theta
0.734643734643735,BOSC,theta
0.636363636363636,BOSC,theta
0.567567567567568,BOSC,theta
0.921375921375921,BOSC,theta
0.976658476658477,BOSC,theta
0.922604422604423,BOSC,theta
0.993857493857494,BOSC,theta
0.936117936117936,BOSC,theta
0.76044226044226,BOSC,theta
0.942260442260442,BOSC,theta
0.245700245700246,BOSC,theta
0,BOSC,theta
0.525798525798526,BOSC,theta
0.976658476658477,BOSC,theta
0.911547911547912,BOSC,theta
0.985257985257985,BOSC,theta
1,BOSC,theta
0.950859950859951,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.401719901719902,BOSC,theta
1,BOSC,theta
0.968058968058968,BOSC,theta
0.909090909090909,BOSC,theta
0.984029484029484,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.812039312039312,BOSC,theta
0.66953316953317,BOSC,theta
0.845208845208845,BOSC,theta
0.961916461916462,BOSC,theta
0.684275184275184,BOSC,theta
0.974201474201474,BOSC,theta
0.992628992628993,BOSC,theta
0.646191646191646,BOSC,theta
1,BOSC,theta
0.581081081081081,BOSC,theta
0.269041769041769,BOSC,theta
0.651105651105651,BOSC,theta
0.455773955773956,BOSC,theta
0.372235872235872,BOSC,theta
0.496314496314496,BOSC,theta
0.816953316953317,BOSC,theta
0.554054054054054,BOSC,theta
0.848894348894349,BOSC,theta
0.938574938574939,BOSC,theta
0.787469287469287,BOSC,theta
0.975429975429975,BOSC,theta
1,BOSC,theta
0.563882063882064,BOSC,theta
1,BOSC,theta
0.961916461916462,BOSC,theta
0.905405405405405,BOSC,theta
0.969287469287469,BOSC,theta
0.744471744471744,BOSC,theta
0.57985257985258,BOSC,theta
0.772727272727273,BOSC,theta
1,BOSC,theta
0.988943488943489,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.872235872235872,BOSC,theta
1,BOSC,theta
