RMSE,condition
0.0299919570391283,BOSC
0.000718446926736911,BOSC
0.0179673309115693,BOSC
0.0102839707557906,BOSC
0.0295225724088164,BOSC
0.0388791713213211,BOSC
0.0251292713481722,BOSC
0.00261465046761067,BOSC
0.00706122722883677,BOSC
0.0146048528549459,BOSC
0.000441142772740756,BOSC
0.0218301162167766,BOSC
0.00040824109937245,BOSC
0.0265150275633697,BOSC
0.018788364833631,BOSC
0.0199780763332744,BOSC
0.0154314695392606,BOSC
0.032556110727712,BOSC
0.0286398052832558,BOSC
0.00405730496570317,BOSC
0.0103605885543561,BOSC
0.0299716563540273,BOSC
0.0289430005438842,BOSC
0.00859235357755739,BOSC
0.0145737743907676,BOSC
0.0107019463947285,BOSC
0.0164730789379991,BOSC
0.0205308116459416,BOSC
0.0170271827055956,BOSC
0.00513653676254713,BOSC
0.0184613743641253,BOSC
0.00501986577338639,BOSC
0.0336871027913003,BOSC
0.0035608279618344,BOSC
0.0156982306960688,BOSC
0.0253559692797699,BOSC
0.00185529721489233,BOSC
0.00915749106732213,BOSC
0.00598678462036851,BOSC
0.0108321383629673,BOSC
0.0115844992869516,BOSC
0.0102936506547082,BOSC
0.00788331424828328,BOSC
0.00200085112953516,BOSC
0.00188442699623967,BOSC
0.0136738528115701,BOSC
0.0115109511451648,BOSC
0.0103044168171318,BOSC
0.00986908052244573,BOSC
0.00436504164362363,BOSC
0.0203560722479391,BOSC
0.0033420196545957,BOSC
0.00221431521500178,BOSC
0.0196395848507928,BOSC
0.0163049196025548,BOSC
0.0100005434802935,BOSC
0.0187643469706206,BOSC
0.0170509701631934,BOSC
0.00472821696323584,BOSC
0.00109246045521625,BOSC
0.0069062310899559,BOSC
0.0087968608029867,BOSC
0.0189839540046318,BOSC
0.00797942734215495,BOSC
0.0154960503536977,BOSC
0.00368905541289344,BOSC
0.0311880027579538,BOSC
0.0122738978009359,BOSC
0.0281719882335061,BOSC
0.0308765374219213,BOSC
0.00821514086622199,BOSC
0.0221083970862592,BOSC
0.00287077835621317,BOSC
0.0038131991257775,BOSC
0.0113754443931899,BOSC
0.00856688436907751,BOSC
0.0212940525516018,BOSC
