RMSE,fit_method
0.0424363036500501,BOSC
0.0130006400571684,BOSC
0.0767876800881771,BOSC
0.0631291097808417,BOSC
0.0540004544396656,BOSC
0.00223723110442522,BOSC
0.0730425879413402,BOSC
0.0689721533541381,BOSC
0.0124672177116644,BOSC
0.0102171749510345,BOSC
0.0948371116906952,BOSC
0.0120469970622063,BOSC
0.00399038353442123,BOSC
0.0189214334829223,BOSC
0.0162692967481394,BOSC
0.00727693424672783,BOSC
0.00161955682928464,BOSC
0.00611757348005966,BOSC
0.00949942084087468,BOSC
0.045237014493027,BOSC
0.0490625864761408,BOSC
0.0482456344107553,BOSC
0.0456547029866715,BOSC
0.126993730621938,BOSC
0.0996608160456818,BOSC
0.0320313443410844,BOSC
0.036455705015565,BOSC
0.0180017694614381,BOSC
0.0113166114912938,BOSC
0.0177837821702634,BOSC
0.00940041966138493,BOSC
0.137875756276245,BOSC
0.0780607950725335,BOSC
0.0497090143635209,BOSC
0.0306361818935301,BOSC
0.0479379505743003,BOSC
0.0878081625581915,BOSC
0.150551463366708,BOSC
0.0898287186843548,BOSC
0.0329080097470152,BOSC
0.0543962130433056,BOSC
0.115115411986805,BOSC
0.0411650360817542,BOSC
0.0373010025709292,BOSC
0.00978523414553493,BOSC
0.00284004067323227,BOSC
0.0278036728614761,BOSC
0.072743521130058,BOSC
0.0579746708168165,BOSC
0.00492713299316566,BOSC
0.000979231522894623,BOSC
0.0819283603053145,BOSC
0.0489725738554471,BOSC
0.0875285924009554,BOSC
0.0740177439575547,BOSC
0.0597666768288944,BOSC
9.26958456402128e-05,BOSC
0.00554207332264377,BOSC
0.0430104089602639,BOSC
0.0665637623174597,BOSC
0.0603126844716726,BOSC
0.0343078419392019,BOSC
0.0538575324412914,BOSC
0.0169379189920412,BOSC
0.0260238394279638,BOSC
0.0715439458671011,BOSC
0.0150041190362518,BOSC
0.0177882704634416,BOSC
0.161866303186184,BOSC
0.0355883485286176,BOSC
0.01096672951592,BOSC
0.0725130545075755,BOSC
0.00983767355655101,BOSC
0.0339772067792925,BOSC
0.0665481651636324,BOSC
0.0235256360101182,BOSC
0.0579968266445394,BOSC
0.0505062514579356,BOSC
0.0576984931062605,BOSC
0.0562633038158657,BOSC
0.0137381050322429,BOSC
0.0716568153560782,BOSC
0.0680432928148699,BOSC
0.066725747285792,BOSC
0.0621485171568767,BOSC
0.0473681878843661,BOSC
0.00471571879265524,BOSC
0.128147062651334,BOSC
0.0218942893023113,BOSC
0.0187756436256698,BOSC
0.0941019198321267,BOSC
0.0406684680183444,BOSC
0.0130059054403755,BOSC
0.00559990056081555,BOSC
0.0453845580112456,BOSC
0.0391411210891579,BOSC
0.0476700083565919,BOSC
0.0386767171829245,BOSC
0.0135051022610856,BOSC
0.0712682318885379,BOSC
0.00820106537934923,BOSC
0.00636096570973526,BOSC
0.0171960684870501,BOSC
0.0937286913009811,BOSC
0.0799490324848516,BOSC
0.0144372970236981,BOSC
0.0387203512552982,BOSC
0.087349455254216,BOSC
0.018638590058983,BOSC
0.024059313598524,BOSC
0.0503088343335144,BOSC
0.037626671027091,BOSC
0.00546220577956385,BOSC
0.0119599664937312,BOSC
0.073726566309666,BOSC
0.0200583079737564,BOSC
0.0626373593418304,BOSC
0.019783722385217,BOSC
0.0488159559648341,BOSC
0.0774504732349719,BOSC
0.0391818364330917,BOSC
0.0896256563077032,BOSC
0.0153763672279975,BOSC
0.0658310621550544,BOSC
0.0524208903463133,BOSC
0.0450841910454525,BOSC
0.0022587125121884,BOSC
0.0383655117340024,BOSC
0.0308273040857538,BOSC
0.0925533250081471,BOSC
0.0210250354410544,BOSC
0.194618996303749,BOSC
0.0910844481649923,BOSC
0.000419329356461902,BOSC
0.0852218305425578,BOSC
0.0751702417285047,BOSC
0.0700409545896563,BOSC
0.151775748407851,BOSC
0.0420304575130015,BOSC
0.0106974715892588,BOSC
0.067588458735892,BOSC
0.00859088980819589,BOSC
0.000360847634361666,BOSC
0.0541543684666775,BOSC
0.034405439486378,BOSC
0.0243258730358651,BOSC
0.0368026732373752,BOSC
0.0602025505938271,BOSC
0.0330725135166701,BOSC
0.0411596008593353,BOSC
0.054210817916112,BOSC
0.069701922936294,BOSC
0.0335306571959106,BOSC
0.0383592390289431,BOSC
0.0168813245347002,BOSC
0.0366185504477385,BOSC
0.00441020243780668,BOSC
0.0430951915795514,BOSC
0.0115414344330025,BOSC
0.0439481926606201,BOSC
0.127792307492275,BOSC
0.0240611640516836,BOSC
0.0266987518124884,BOSC
0.000948286551535042,BOSC
0.0608553222148174,BOSC
0.0358770607067322,BOSC
0.0146370431722448,BOSC
0.0741878449295264,BOSC
0.0171787502747945,BOSC
0.0292042851542324,BOSC
0.0659922711828626,BOSC
0.033273173420879,BOSC
0.0315837232974137,BOSC
0.0174823646259017,BOSC
0.0492054153686866,BOSC
0.0266512575396378,BOSC
0.00415552737544026,BOSC
0.0585137508166076,BOSC
0.0187129393408409,BOSC
0.0419574112764904,BOSC
0.001892581571413,BOSC
0.123529657577282,BOSC
0.0415657858251315,BOSC
0.104050489951012,BOSC
0.0533243374083446,BOSC
0.0629846906949261,BOSC
0.0352080022662405,BOSC
0.054569362456361,BOSC
0.0279836679456334,BOSC
0.00861480578827372,BOSC
0.00683303059395524,BOSC
0.0015779383571207,BOSC
0.040747177208718,BOSC
0.0243659631965077,BOSC
0.0272224113063867,BOSC
0.13267905628321,BOSC
0.0298637826658723,BOSC
0.0713451879780438,BOSC
0.0446786256981497,BOSC
0.0136359730145967,BOSC
0.0423125076027851,BOSC
0.0596933209971444,BOSC
0.0523273502705846,BOSC
0.0729892730184112,BOSC
0.118200627037298,BOSC
0.0276258420888269,BOSC
0.0208442514292852,BOSC
0.0165339349921544,BOSC
0.0721115851779421,BOSC
0.0311252814401104,BOSC
0.0654883880486086,BOSC
0.098297220236615,BOSC
0.0213094468790386,BOSC
0.0556514577540968,BOSC
0.0890269816199,BOSC
0.0700900068996567,BOSC
0.103077387988083,BOSC
0.0355326890026071,BOSC
0.0227546385986309,BOSC
0.0529813993310499,BOSC
0.153231730798949,BOSC
0.00496559928392609,BOSC
0.0546502969281924,BOSC
0.0174806609650546,BOSC
0.089823284633559,BOSC
0.0927849565928699,BOSC
0.0629094508787226,BOSC
0.0479419983194264,BOSC
0.0418920439196591,BOSC
0.0810917516722751,BOSC
0.0481451875644379,BOSC
0.0547135456468117,BOSC
0.0286401274959557,BOSC
0.0849141024228356,BOSC
0.0969090918306,BOSC
0.00908516526569898,BOSC
0.0390899367923782,BOSC
0.0984190444779162,BOSC
0.0840140317232209,BOSC
0.0955285972258447,BOSC
0.00230856627878573,BOSC
0.00584484093492035,BOSC
0.00406750795683576,BOSC
0.0182778100268716,BOSC
0.0403841504503122,BOSC
0.0214187340206727,BOSC
0.0215606615331351,BOSC
0.000388077399536551,BOSC
0.110208052737232,BOSC
0.0167148633234609,BOSC
0.00440456258800739,BOSC
0.0165820455939614,BOSC
0.0461746611437056,BOSC
0.0249709187583435,BOSC
0.0569241307655616,BOSC
0.00833527955767056,BOSC
0.0323971629172069,BOSC
0.0213783852150734,BOSC
0.103271522365639,BOSC
0.0298468576222824,BOSC
0.0934296444592017,BOSC
0.145803558225739,BOSC
0.00164298209589668,BOSC
0.0413403506041575,BOSC
