RMSE,fit_method
0.0429028569988188,BOSC
0.0983398007060373,BOSC
0.00855148056069188,BOSC
0.0222100508680272,BOSC
0.139339615088535,BOSC
0.0875763917532942,BOSC
0.0122965727075287,BOSC
0.154311314003007,BOSC
0.0728719429372045,BOSC
0.0955563355999035,BOSC
0.00949795104182627,BOSC
0.0732921635866626,BOSC
0.0813487771144477,BOSC
0.104260594131791,BOSC
0.101608457397008,BOSC
0.0780622264021411,BOSC
0.0869587174781536,BOSC
0.0914567341289286,BOSC
0.0948385814897436,BOSC
0.130576175141896,BOSC
0.0362765741727282,BOSC
0.0370935262381137,BOSC
0.13099386363554,BOSC
0.212332891270807,BOSC
0.184999976694551,BOSC
0.0533078163077845,BOSC
0.0488834556333039,BOSC
0.103340930110307,BOSC
0.0966557721401627,BOSC
0.0675553784786055,BOSC
0.0947395803102539,BOSC
0.223214916925114,BOSC
0.163399955721402,BOSC
0.13504817501239,BOSC
0.115975342542399,BOSC
0.133277111223169,BOSC
0.00246900190932257,BOSC
0.235890624015577,BOSC
0.00448955803548582,BOSC
0.0524311509018537,BOSC
0.0309429476055633,BOSC
0.200454572635674,BOSC
0.126504196730623,BOSC
0.122640163219798,BOSC
0.075553926503334,BOSC
0.0824991199756367,BOSC
0.0575354877873928,BOSC
0.0125956395188109,BOSC
0.0273644898320525,BOSC
0.0804120276557033,BOSC
0.0843599291259743,BOSC
0.167267520954183,BOSC
0.134311734504316,BOSC
0.172867753049824,BOSC
0.0113214166913143,BOSC
0.0255724838199746,BOSC
0.0852464648032287,BOSC
0.0797970873262252,BOSC
0.128349569609133,BOSC
0.151902922966329,BOSC
0.0250264761771963,BOSC
0.119647002588071,BOSC
0.13919669309016,BOSC
0.0684012416568278,BOSC
0.111363000076833,BOSC
0.15688310651597,BOSC
0.100343279685121,BOSC
0.103127431112311,BOSC
0.247205463835053,BOSC
0.0497508121202514,BOSC
0.096305890164789,BOSC
0.0128261061412934,BOSC
0.0755014870923179,BOSC
0.0513619538695765,BOSC
0.151887325812501,BOSC
0.0618135246387507,BOSC
0.0273423340043295,BOSC
0.0348329091909333,BOSC
0.0276406675426084,BOSC
0.141602464464735,BOSC
0.071601055616626,BOSC
0.156995976004947,BOSC
0.0172958678339991,BOSC
0.0186134133630769,BOSC
0.147487677805746,BOSC
0.132707348533235,BOSC
0.0900548794415242,BOSC
0.213486223300203,BOSC
0.10723344995118,BOSC
0.0665635170231992,BOSC
0.179441080480996,BOSC
0.126007628667213,BOSC
0.0723332552084935,BOSC
0.0909390612096845,BOSC
0.0399546026376233,BOSC
0.046198039559711,BOSC
0.037669152292277,BOSC
0.0466624434659444,BOSC
0.0718340583877833,BOSC
0.156607392537407,BOSC
0.0771380952695197,BOSC
0.0789781949391337,BOSC
0.0681430921618189,BOSC
0.17906785194985,BOSC
0.00539012816401732,BOSC
0.0997764576725671,BOSC
0.0466188093935707,BOSC
0.172688615903085,BOSC
0.0667005705898859,BOSC
0.0612798470503449,BOSC
0.0350303263153546,BOSC
0.0477124896217779,BOSC
0.0908013664284328,BOSC
0.0972991271426001,BOSC
0.159065726958535,BOSC
0.105397468622625,BOSC
0.0227018013070385,BOSC
0.105122883034086,BOSC
0.134155116613703,BOSC
0.00788868741389708,BOSC
0.0461573242157773,BOSC
0.174964816956572,BOSC
0.0699627934208714,BOSC
0.0195080984938145,BOSC
0.0329182703025556,BOSC
0.130423351694321,BOSC
0.0830804481366805,BOSC
0.123704672382871,BOSC
0.0545118565631152,BOSC
0.00721416435927814,BOSC
0.106364196089923,BOSC
0.279958156952618,BOSC
0.00574528751612339,BOSC
0.084919831292407,BOSC
0.000117330106311147,BOSC
0.0101689189203642,BOSC
0.0152982060592126,BOSC
0.237114909056719,BOSC
0.0433087031358674,BOSC
0.0746416890596101,BOSC
