RMSE,condition
0.0425569708386741,BOSC
0.0990812742450569,BOSC
0.00662891107601782,BOSC
0.022489644925435,BOSC
0.138981112949006,BOSC
0.0868459355750277,BOSC
0.0124960357666849,BOSC
0.15432141949509,BOSC
0.0709956378998741,BOSC
0.0962644218533867,BOSC
0.0101923464520641,BOSC
0.0730019468822257,BOSC
0.0796657470628701,BOSC
0.103156306959589,BOSC
0.100699833275687,BOSC
0.0780580569229335,BOSC
0.0847124008726371,BOSC
0.0901287007715232,BOSC
0.0944434158182594,BOSC
0.129417244625802,BOSC
0.0346696722947395,BOSC
0.0346966625475756,BOSC
0.129094949543513,BOSC
0.211633548018484,BOSC
0.185380790427053,BOSC
0.0523947170919278,BOSC
0.0485239886790061,BOSC
0.102818506871763,BOSC
0.0969833148824053,BOSC
0.0652167209794575,BOSC
0.0942973063083987,BOSC
0.224008005641664,BOSC
0.162969787398759,BOSC
0.134568111197925,BOSC
0.116008049963566,BOSC
0.132576445157949,BOSC
0.00186130267951617,BOSC
0.235999387012055,BOSC
0.00454972534913097,BOSC
0.0513987322913441,BOSC
0.0295945194835909,BOSC
0.199260127538472,BOSC
0.127143515201063,BOSC
0.122895630739117,BOSC
0.0744901735238207,BOSC
0.081947223457117,BOSC
0.0557011868268033,BOSC
0.0102648555033019,BOSC
0.0268258289771002,BOSC
0.0794317977219153,BOSC
0.0841568484257149,BOSC
0.168285025596862,BOSC
0.132128151520593,BOSC
0.17270875606674,BOSC
0.00983094615865372,BOSC
0.0244237262344015,BOSC
0.0838700611500896,BOSC
0.0785282359586045,BOSC
0.126766095415993,BOSC
0.150798829381787,BOSC
0.02465970220117,BOSC
0.117388156748282,BOSC
0.138205769654359,BOSC
0.0665617359965473,BOSC
0.111657535373795,BOSC
0.156669995837998,BOSC
0.0996088872293756,BOSC
0.101403614536108,BOSC
0.245495839879963,BOSC
0.0483907948027464,BOSC
0.0961571298834494,BOSC
0.0121591289153472,BOSC
0.0746066024378341,BOSC
0.0507699342103491,BOSC
0.151335131204341,BOSC
0.0637701333644521,BOSC
0.02803807866802,BOSC
0.0330538495010995,BOSC
0.027534551262066,BOSC
0.140014521777973,BOSC
0.071523995329626,BOSC
0.155746101142208,BOSC
0.0157629016844328,BOSC
0.0176053002962674,BOSC
0.146830914501921,BOSC
0.13227471277895,BOSC
0.0889188605101329,BOSC
0.215014784004793,BOSC
0.107638541273682,BOSC
0.0660435089986818,BOSC
0.177923065169799,BOSC
0.125081938681151,BOSC
0.0723251207054169,BOSC
0.0914896976580483,BOSC
0.0389192897524135,BOSC
0.044139868835503,BOSC
0.0355514007488361,BOSC
0.0470374055760277,BOSC
0.0706332832388151,BOSC
0.15672632321815,BOSC
0.0764628722285959,BOSC
0.0783251425929541,BOSC
0.0691627665135117,BOSC
0.177931417482704,BOSC
0.00323995699501163,BOSC
0.0981923452590581,BOSC
0.0462479783158029,BOSC
0.171902967852266,BOSC
0.0655534279304836,BOSC
0.0608500383417593,BOSC
0.0329786489521984,BOSC
0.0478746966887912,BOSC
0.0897691942094871,BOSC
0.0966051247723792,BOSC
0.158595056449531,BOSC
0.104119513051321,BOSC
0.0218403190911055,BOSC
0.105075952801674,BOSC
0.135023307402615,BOSC
0.00573238630563461,BOSC
0.0432631462833179,BOSC
0.173169684160276,BOSC
0.0690202529730203,BOSC
0.0181062507822589,BOSC
0.030919492501206,BOSC
0.130905244837967,BOSC
0.0815966453644786,BOSC
0.123213310524245,BOSC
0.0528226975596098,BOSC
0.00885401232377787,BOSC
0.104857731576068,BOSC
0.280567183721653,BOSC
0.00694284025695318,BOSC
0.0842584386971857,BOSC
0.00122112179683804,BOSC
0.00913937240942438,BOSC
0.0150751074671896,BOSC
0.237251444211582,BOSC
0.0411942155324436,BOSC
0.0721275415726403,BOSC
0.153774975418286,BOSC
0.0763437432277142,BOSC
0.0872004729310388,BOSC
0.139435256396125,BOSC
0.119231763104249,BOSC
0.0612862275151279,BOSC
0.123189351787052,BOSC
0.144699173060463,BOSC
0.118129585059027,BOSC
0.127361107956534,BOSC
0.0297726252546253,BOSC
0.0142699153894618,BOSC
0.11908956665993,BOSC
0.0452282094601879,BOSC
0.0676561718341416,BOSC
0.122069170666911,BOSC
0.0797850344336707,BOSC
0.128503695912599,BOSC
0.098735999498041,BOSC
0.129167307064168,BOSC
0.210514168434206,BOSC
0.10821982032958,BOSC
0.0585550470209373,BOSC
0.0824841341425353,BOSC
0.0261277296877988,BOSC
0.120089951814219,BOSC
0.100011889021258,BOSC
0.009686714423478,BOSC
0.0666906083816505,BOSC
0.113205874097781,BOSC
0.150371705493999,BOSC
0.117818491838446,BOSC
0.118268867019745,BOSC
0.102656914189959,BOSC
0.134974684282646,BOSC
0.111523033232876,BOSC
0.0792018984390358,BOSC
0.0260310492596587,BOSC
0.0687261864611444,BOSC
0.0432579337579883,BOSC
0.0821612778024128,BOSC
0.210250836263589,BOSC
0.0427482963898624,BOSC
0.189441752504781,BOSC
0.13818477916107,BOSC
0.149065749375418,BOSC
0.121060944145192,BOSC
0.141423259450664,BOSC
0.113495733988246,BOSC
0.0935538754079433,BOSC
0.0781118658061517,BOSC
0.0850417009402469,BOSC
0.0436745332735489,BOSC
0.108318371209284,BOSC
0.0583413172349257,BOSC
