HR,condition,oscillation
0.796068796068796,BOSC,theta
0.251842751842752,BOSC,theta
0.831695331695332,BOSC,theta
0.957002457002457,BOSC,theta
0.481572481572482,BOSC,theta
1,BOSC,theta
0.523341523341523,BOSC,theta
0.404176904176904,BOSC,theta
0.778869778869779,BOSC,theta
1,BOSC,theta
0.952088452088452,BOSC,theta
1,BOSC,theta
0.712530712530713,BOSC,theta
0.272727272727273,BOSC,theta
0.738329238329238,BOSC,theta
0.863636363636364,BOSC,theta
0.785012285012285,BOSC,theta
0.886977886977887,BOSC,theta
0.783783783783784,BOSC,theta
0.303439803439803,BOSC,theta
0.875921375921376,BOSC,theta
1,BOSC,theta
0.938574938574939,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.976658476658477,BOSC,theta
1,BOSC,theta
0.664619164619165,BOSC,theta
0.243243243243243,BOSC,theta
0.945945945945946,BOSC,theta
0.996314496314496,BOSC,theta
0.664619164619165,BOSC,theta
1,BOSC,theta
0.759213759213759,BOSC,theta
0.643734643734644,BOSC,theta
0.773955773955774,BOSC,theta
0.536855036855037,BOSC,theta
0.48034398034398,BOSC,theta
0.552825552825553,BOSC,theta
0.987714987714988,BOSC,theta
0.684275184275184,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.99017199017199,BOSC,theta
1,BOSC,theta
0.7002457002457,BOSC,theta
0.653562653562654,BOSC,theta
0.893120393120393,BOSC,theta
0.754299754299754,BOSC,theta
0.407862407862408,BOSC,theta
0.820638820638821,BOSC,theta
0.753071253071253,BOSC,theta
0.552825552825553,BOSC,theta
0.776412776412776,BOSC,theta
1,BOSC,theta
0.948402948402948,BOSC,theta
1,BOSC,theta
0.807125307125307,BOSC,theta
0.7002457002457,BOSC,theta
0.825552825552825,BOSC,theta
1,BOSC,theta
0.99017199017199,BOSC,theta
1,BOSC,theta
0.771498771498772,BOSC,theta
0,BOSC,theta
0.819410319410319,BOSC,theta
0.681818181818182,BOSC,theta
0.605651105651106,BOSC,theta
0.713759213759214,BOSC,theta
0.653562653562654,BOSC,theta
0.501228501228501,BOSC,theta
0.697788697788698,BOSC,theta
0.947174447174447,BOSC,theta
0.894348894348894,BOSC,theta
0.961916461916462,BOSC,theta
0.825552825552825,BOSC,theta
0,BOSC,theta
0.873464373464373,BOSC,theta
1,BOSC,theta
0.985257985257985,BOSC,theta
1,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0.296068796068796,BOSC,theta
0.900491400491401,BOSC,theta
0.371007371007371,BOSC,theta
0.912776412776413,BOSC,theta
0.861179361179361,BOSC,theta
0.775184275184275,BOSC,theta
0.901719901719902,BOSC,theta
0.86977886977887,BOSC,theta
0.735872235872236,BOSC,theta
0.906633906633907,BOSC,theta
0.643734643734644,BOSC,theta
0.530712530712531,BOSC,theta
0.676904176904177,BOSC,theta
1,BOSC,theta
0.982800982800983,BOSC,theta
1,BOSC,theta
0.716216216216216,BOSC,theta
0.411547911547912,BOSC,theta
0.792383292383292,BOSC,theta
0.281326781326781,BOSC,theta
0,BOSC,theta
0.52948402948403,BOSC,theta
0.657248157248157,BOSC,theta
0.457002457002457,BOSC,theta
0.899262899262899,BOSC,theta
0.605651105651106,BOSC,theta
0.436117936117936,BOSC,theta
0.751842751842752,BOSC,theta
0.257985257985258,BOSC,theta
0,BOSC,theta
0.292383292383292,BOSC,theta
0.831695331695332,BOSC,theta
0.522113022113022,BOSC,theta
0.861179361179361,BOSC,theta
0.991400491400491,BOSC,theta
0.748157248157248,BOSC,theta
1,BOSC,theta
0.694103194103194,BOSC,theta
0.56019656019656,BOSC,theta
0.702702702702703,BOSC,theta
0.961916461916462,BOSC,theta
0.740786240786241,BOSC,theta
0.971744471744472,BOSC,theta
0.839066339066339,BOSC,theta
0,BOSC,theta
0.848894348894349,BOSC,theta
0.738329238329238,BOSC,theta
0.264127764127764,BOSC,theta
0.796068796068796,BOSC,theta
0.934889434889435,BOSC,theta
0.874692874692875,BOSC,theta
0.947174447174447,BOSC,theta
0.585995085995086,BOSC,theta
0.481572481572482,BOSC,theta
0.657248157248157,BOSC,theta
0.825552825552825,BOSC,theta
0.581081081081081,BOSC,theta
0.907862407862408,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.988943488943489,BOSC,theta
0.959459459459459,BOSC,theta
0.998771498771499,BOSC,theta
1,BOSC,theta
0.798525798525799,BOSC,theta
1,BOSC,theta
0.932432432432432,BOSC,theta
0.55036855036855,BOSC,theta
0.977886977886978,BOSC,theta
0.926289926289926,BOSC,theta
0.748157248157248,BOSC,theta
0.941031941031941,BOSC,theta
0.722358722358722,BOSC,theta
0.545454545454545,BOSC,theta
0.762899262899263,BOSC,theta
0.969287469287469,BOSC,theta
0.825552825552825,BOSC,theta
0.986486486486487,BOSC,theta
0.742014742014742,BOSC,theta
0.668304668304668,BOSC,theta
0.756756756756757,BOSC,theta
1,BOSC,theta
0.988943488943489,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.668304668304668,BOSC,theta
1,BOSC,theta
0.355036855036855,BOSC,theta
0.283783783783784,BOSC,theta
0.832923832923833,BOSC,theta
0.697788697788698,BOSC,theta
0.328009828009828,BOSC,theta
1,BOSC,theta
0.867321867321867,BOSC,theta
0.773955773955774,BOSC,theta
0.882063882063882,BOSC,theta
0.915233415233415,BOSC,theta
0.742014742014742,BOSC,theta
0.992628992628993,BOSC,theta
1,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.740786240786241,BOSC,theta
0.689189189189189,BOSC,theta
0.762899262899263,BOSC,theta
0.71007371007371,BOSC,theta
0.409090909090909,BOSC,theta
0.743243243243243,BOSC,theta
0.988943488943489,BOSC,theta
0.94963144963145,BOSC,theta
0.993857493857494,BOSC,theta
0.782555282555283,BOSC,theta
0.69041769041769,BOSC,theta
0.810810810810811,BOSC,theta
0.601965601965602,BOSC,theta
0,BOSC,theta
0.671990171990172,BOSC,theta
0.606879606879607,BOSC,theta
0.544226044226044,BOSC,theta
0.626535626535627,BOSC,theta
0.960687960687961,BOSC,theta
0.777641277641278,BOSC,theta
0.979115479115479,BOSC,theta
0.836609336609337,BOSC,theta
0.517199017199017,BOSC,theta
0.877149877149877,BOSC,theta
0.232186732186732,BOSC,theta
0,BOSC,theta
