RMSE,condition
0.0417750585195177,BOSC
0.0147492448868652,BOSC
0.0777031182821739,BOSC
0.0618423844327568,BOSC
0.0546490835908142,BOSC
0.00251390621683602,BOSC
0.0718359935915068,BOSC
0.0699893901368984,BOSC
0.0133363914583176,BOSC
0.0119323924951949,BOSC
0.0945243758102558,BOSC
0.011330082475966,BOSC
0.00466628229532158,BOSC
0.0188242776013971,BOSC
0.016367803917495,BOSC
0.00627397243525818,BOSC
0.000380371514445343,BOSC
0.00579667141333147,BOSC
0.0101113864600677,BOSC
0.0450852152676107,BOSC
0.0496623570634523,BOSC
0.0496353668106161,BOSC
0.0447629201853217,BOSC
0.127301518660293,BOSC
0.101048761068861,BOSC
0.031937312266264,BOSC
0.0358080406791857,BOSC
0.0184864775135717,BOSC
0.0126512855242136,BOSC
0.0191153083787342,BOSC
0.00996527695020692,BOSC
0.139675976283472,BOSC
0.0786377580405677,BOSC
0.0502360818397333,BOSC
0.0316760206053741,BOSC
0.0482444157997571,BOSC
0.0861933320377079,BOSC
0.151667357653864,BOSC
0.0888817547073227,BOSC
0.0329332970668476,BOSC
0.0547375098746008,BOSC
0.11492809818028,BOSC
0.0428114858428711,BOSC
0.0385636013809252,BOSC
0.00984185583437106,BOSC
0.00238480590107476,BOSC
0.0286308425313884,BOSC
0.0740671738548899,BOSC
0.0575062003810916,BOSC
0.00490023163627645,BOSC
0.000175180932476821,BOSC
0.08395299623867,BOSC
0.0477961221624015,BOSC
0.0883767267085481,BOSC
0.074501083199538,BOSC
0.0599083031237902,BOSC
0.000461968208102105,BOSC
0.00580379339958722,BOSC
0.0424340660578014,BOSC
0.0664668000235957,BOSC
0.0596723271570217,BOSC
0.0330561273900899,BOSC
0.0538737402961675,BOSC
0.0177702933616445,BOSC
0.0273255060156032,BOSC
0.0723379664798063,BOSC
0.0152768578711839,BOSC
0.0170715851779159,BOSC
0.161163810521771,BOSC
0.0359412345554454,BOSC
0.0118251005252577,BOSC
0.0721729004428445,BOSC
0.00972542692035767,BOSC
0.0335620951478426,BOSC
0.067003101846149,BOSC
0.0205618959937397,BOSC
0.0562939506901718,BOSC
0.0512781798570923,BOSC
0.0567974780961257,BOSC
0.0556824924197818,BOSC
0.0128080340285657,BOSC
0.0714140717840158,BOSC
0.068569127673759,BOSC
0.0667267290619243,BOSC
0.0624988851437292,BOSC
0.047942683420758,BOSC
0.00458683115194115,BOSC
0.130682754646601,BOSC
0.0233065119154903,BOSC
0.0182885203595099,BOSC
0.0935910358116077,BOSC
0.0407499093229597,BOSC
0.0120069086527748,BOSC
0.00715766829985653,BOSC
0.0454127396057782,BOSC
0.0401921605226888,BOSC
0.0487806286093556,BOSC
0.037294623782164,BOSC
0.0136987461193766,BOSC
0.0723942938599584,BOSC
0.00786915712959584,BOSC
0.00600688676523761,BOSC
0.01516926284468,BOSC
0.0935993881245118,BOSC
0.0810920723631801,BOSC
0.0138603159008664,BOSC
0.0380840510423888,BOSC
0.0875709384940739,BOSC
0.0187786014277081,BOSC
0.0234819910164324,BOSC
0.0513533804059933,BOSC
0.0364573326694005,BOSC
0.00543716485129542,BOSC
0.0122730954141875,BOSC
0.0742630270913389,BOSC
0.0197874836931294,BOSC
0.0624917102670862,BOSC
0.0207439234434821,BOSC
0.0506912780444231,BOSC
0.0785996430525571,BOSC
0.0410688830748738,BOSC
0.0888376548020844,BOSC
0.0153117763851715,BOSC
0.0662257785759329,BOSC
0.0534125368569857,BOSC
0.0465732154797752,BOSC
0.00273538399371314,BOSC
0.038881281166053,BOSC
0.0315093317985819,BOSC
0.0931860416819696,BOSC
0.0205257022178767,BOSC
0.196235154363461,BOSC
0.0912748696151449,BOSC
7.35906610060384e-05,BOSC
0.0831109075613537,BOSC
0.0751926569487674,BOSC
0.0692569218910021,BOSC
0.15291941485339,BOSC
0.0431378138257482,BOSC
0.0122044877855515,BOSC
0.069442946060094,BOSC
0.00798828613047753,BOSC
0.00286844357284709,BOSC
0.0551032270379333,BOSC
0.0348997337460569,BOSC
0.0230458018430638,BOSC
0.0388573224288601,BOSC
0.0603671437022711,BOSC
0.0337975557008352,BOSC
0.0430290785983422,BOSC
0.0545594041035664,BOSC
0.07006211396873,BOSC
0.0347575373017385,BOSC
0.0391038198980038,BOSC
0.0166758575240501,BOSC
0.0377371413087196,BOSC
0.00454699492452106,BOSC
0.0441716665544073,BOSC
0.0144039701398493,BOSC
0.0448352777059763,BOSC
0.126182139076014,BOSC
0.0238877909713885,BOSC
0.0257769823372544,BOSC
0.00184789521565639,BOSC
0.0582042996703929,BOSC
0.0357579224560275,BOSC
0.0156798596630666,BOSC
0.0746453149347137,BOSC
0.0176414209765412,BOSC
0.0288738447395895,BOSC
0.0660396761358069,BOSC
0.0334864624802544,BOSC
0.0339368376615537,BOSC
0.0183248848317677,BOSC
0.0506426549244539,BOSC
0.0271910038746847,BOSC
0.00513013091915592,BOSC
0.058300980098533,BOSC
0.0156058428970473,BOSC
0.0410740956002034,BOSC
0.00217075155577892,BOSC
0.125918806905398,BOSC
0.0415837329683294,BOSC
0.105109723146589,BOSC
0.0538527498028781,BOSC
0.0647337200172265,BOSC
0.0367289147870007,BOSC
0.0570912300924727,BOSC
0.0291637046300539,BOSC
0.00922184604975153,BOSC
0.00622016355203999,BOSC
0.000709671582055219,BOSC
0.0406574960846428,BOSC
0.0239863418510921,BOSC
0.025990712123266,BOSC
0.13346389821013,BOSC
0.0289788406593218,BOSC
0.0724110404596986,BOSC
0.0441580378838979,BOSC
0.0146707352140349,BOSC
0.0428366357421433,BOSC
0.058578798844804,BOSC
0.0547541058346273,BOSC
0.0735232080408074,BOSC
0.119360045282768,BOSC
