error_both,condition
0.0193833553442285,fixed
0.0295102725484295,fixed
0.0588033070419785,fixed
0.0454918700090822,fixed
0.0784270236661246,fixed
0.0645729818874707,fixed
0.0633138006527797,fixed
0.0434313030363245,fixed
0.0348304029490275,fixed
0.152092166145803,fixed
0.0871554569201953,fixed
0.0390258923073339,fixed
0.0781064715277466,fixed
0.105184774152711,fixed
0.0313757270165883,fixed
0.0219418877631024,fixed
0.016770137524859,fixed
0.104258156799128,fixed
0.0453521117739236,fixed
0.029985510910812,fixed
0.0634588674482399,fixed
0.0456825143906372,fixed
0.0915125265238951,fixed
0.0348640565181968,fixed
0.0405917743676945,fixed
0.0391447778818117,fixed
0.13420241096377,fixed
0.0270063766573291,fixed
0.105965337949869,fixed
0.128562881217983,fixed
0.0628035834391361,fixed
0.031823562276939,fixed
0.0187401247771954,fixed
0.0501275720936841,fixed
0.0738741736886742,fixed
0.0695005986236328,fixed
0.130871500997622,fixed
0.0814470559790619,fixed
0.0183114223015542,fixed
0.0449072601784039,fixed
0.0438188416675023,fixed
0.104814980339287,fixed
0.0263691006014085,fixed
0.0250017155837287,fixed
0.0779010582228179,fixed
0.0746351003533921,fixed
0.024825821998831,fixed
0.045868853605613,fixed
0.0487944623492961,fixed
0.0897075576135107,fixed
0.0783784627862497,fixed
0.115561375734344,fixed
0.0105770626685695,fixed
0.0189876397069982,fixed
0.0989687490596849,fixed
0.0618036781883099,fixed
0.0885920782479274,fixed
0.123479319379957,fixed
0.206013194054211,fixed
0.124502741118048,fixed
0.0550173043720315,fixed
0.0163070146953327,fixed
0.108090310727085,fixed
0.0862287029565664,fixed
0.115732724507028,fixed
0.116794509479399,fixed
0.190304081987786,fixed
0.169306270177108,fixed
0.120265501565047,fixed
0.0157893485574336,fixed
0.0914807707758899,fixed
0.102009266911115,fixed
0.144918443469767,fixed
0.150421612588338,fixed
0.135969912267707,fixed
0.103955095785984,fixed
0.0423622686646214,fixed
0.0117884084915431,fixed
0.0143509795211981,fixed
0.0561680919131526,fixed
0.0826748082396851,fixed
0.1051086191352,fixed
0.147745623645517,fixed
0.108160250564331,fixed
0.101918795189339,fixed
0.0917526501745837,fixed
0.0717815774158097,fixed
0.109787125443188,fixed
0.12161569454821,fixed
0.0709702782511595,fixed
0.12601372152142,fixed
0.149513862662453,fixed
0.136343250558359,fixed
0.139797790038673,fixed
0.014718166240986,fixed
0.0336241275039824,fixed
0.018286540780952,fixed
0.0703969111318565,fixed
0.0406858366891896,fixed
0.0611633729101279,fixed
0.0477105239503471,fixed
0.018501967084553,fixed
0.015969597842677,fixed
0.0246116829384451,fixed
0.0756353537603013,fixed
0.0648968101679444,fixed
0.0370454732577463,fixed
0.0708010444653384,fixed
0.0245966335587017,fixed
0.0546012179550605,fixed
0.0443686544468431,fixed
0.0620888723143858,fixed
0.0398572707315372,fixed
0.0433471707716804,fixed
0.0391134485122677,fixed
0.0576820447380798,fixed
0.0712696265472147,fixed
0.0227015328666582,fixed
0.0184822384742338,fixed
0.01754363295297,fixed
0.0277681002500451,fixed
0.0349857785330263,fixed
0.0765971497493077,fixed
0.0220019988752611,fixed
0.0524451363507149,fixed
0.0745492970324837,fixed
0.060219006353695,fixed
0.0268137631529098,fixed
0.0217261606392721,fixed
0.0147258067085789,fixed
0.0300078560617816,fixed
0.0245730940349041,fixed
0.0366225237880278,fixed
0.0951729006178643,fixed
0.0985172992428321,fixed
0.0574246584755734,fixed
0.0305474212172999,fixed
0.0117432675790818,fixed
0.10937224709126,fixed
0.037189886319578,fixed
0.0289410653326788,fixed
0.103745295302594,fixed
0.105487288579553,fixed
0.0440786826700225,fixed
0.0441358893097234,fixed
0.0389646727188079,fixed
0.0307520671028288,fixed
0.0278406126859716,fixed
0.0758473922205581,fixed
0.100060592728519,fixed
0.067070027958993,fixed
0.0591431630250679,fixed
0.0403338853469987,fixed
0.0352688158255211,fixed
0.0312764504359715,fixed
0.0344983376495899,fixed
0.0786489859468924,fixed
0.0940980593358739,fixed
0.0419002075469506,fixed
0.0435620261835017,fixed
0.0538794664068413,fixed
0.0338076087972685,fixed
0.0336396693154148,fixed
0.0944084330773836,fixed
0.102950769698454,fixed
0.0493703864600839,fixed
0.0926648636579553,fixed
0.106395530137857,fixed
0.0666232192983369,fixed
0.063367960246683,fixed
0.03047465980394,fixed
0.103228306589929,fixed
0.120322233820572,fixed
0.0870189820987024,fixed
0.0523184997647763,fixed
0.0638301844472284,fixed
0.0510249629589367,fixed
0.0664796216230824,fixed
0.0841064658026782,fixed
0.0666120966113529,fixed
0.0765577438734381,fixed
0.0868923412327931,fixed
0.10900435658663,fixed
0.0879892590552084,fixed
0.0563916850483984,fixed
0.0559680738087316,fixed
0.0822920096049024,fixed
0.0421304596822547,fixed
0.0794757028526744,fixed
0.0941730945345157,fixed
0.0777162991592745,fixed
0.0504702003621341,fixed
0.0931062242495545,fixed
0.0436813283943396,fixed
0.0681046134755697,fixed
0.0501999607541138,fixed
0.126124452517159,fixed
0.0987064192799306,fixed
0.0878210068566573,fixed
0.0952906763191868,fixed
0.10879470888529,fixed
0.0594878104185352,fixed
0.0707941651507771,fixed
0.0621959112433712,fixed
0.0725470745037964,fixed
0.106817503643371,fixed
0.10044192912922,fixed
0.0706537309418294,fixed
0.0637062379059755,fixed
0.0737619335228768,fixed
0.0794548217717259,fixed
0.0745783033341248,fixed
0.0739799651914494,fixed
0.106602618326814,fixed
0.118295931261765,fixed
0.0712984066993706,fixed
0.0564842291582578,fixed
0.122520874963857,fixed
0.135916572215694,fixed
0.133358592020033,fixed
0.126821233559338,fixed
0.109628081871852,fixed
0.0476099466567227,fixed
0.0748988662791251,fixed
0.0842674968879357,fixed
0.0866538923356384,fixed
0.0880299332736583,fixed
0.103446869454182,fixed
0.051139510641899,fixed
0.0823286515808112,fixed
0.0585659088436209,fixed
0.135755220279916,fixed
0.213833252459793,fixed
0.11256176240702,fixed
0.149494583952751,fixed
0.200177483253388,fixed
0.195793395972685,fixed
0.0770625552086621,fixed
0.0670615619512398,fixed
0.160416543197033,fixed
0.203948791376399,fixed
0.0545991119999484,fixed
0.0763922905249226,fixed
0.180115417515962,fixed
0.212836712493562,fixed
0.0812669272759305,fixed
0.0853182218035804,fixed
0.0808542210165248,fixed
0.0977212188669372,fixed
0.0453354512468268,fixed
0.242347664975975,fixed
0.207651490351303,fixed
0.218450641655487,fixed
0.072394487722742,fixed
0.0757377799065544,fixed
0.166301013989108,fixed
0.0787026683228423,fixed
0.13568005368235,fixed
0.0809775019106499,fixed
0.0822889459734748,fixed
0.0511400228583713,fixed
0.139354762727803,fixed
0.172375395137467,fixed
0.130184766387723,fixed
0.190905175506997,fixed
0.0546565956645723,fixed
0.0471097647472672,fixed
0.0333540710016504,fixed
0.0313370230332266,fixed
0.152651555963194,fixed
0.172503684890924,fixed
0.184747689877437,fixed
0.0492249000558831,fixed
0.0325786030478592,fixed
0.0458804703676588,fixed
0.0193670953067329,fixed
0.0464037129621109,fixed
0.125774053888205,fixed
0.144194686802106,fixed
0.0361060031937235,fixed
0.0478268830194293,fixed
