HR,condition,oscillation
0.616707616707617,BOSC,theta
0,BOSC,theta
0.761670761670762,BOSC,theta
0.816953316953317,BOSC,theta
0.425061425061425,BOSC,theta
0.873464373464373,BOSC,theta
0.450859950859951,BOSC,theta
0.363636363636364,BOSC,theta
0.474201474201474,BOSC,theta
0.985257985257985,BOSC,theta
0.868550368550369,BOSC,theta
0.993857493857494,BOSC,theta
0.657248157248157,BOSC,theta
0,BOSC,theta
0.684275184275184,BOSC,theta
0.823095823095823,BOSC,theta
0.717444717444717,BOSC,theta
0.842751842751843,BOSC,theta
0.337837837837838,BOSC,theta
0,BOSC,theta
0.619164619164619,BOSC,theta
1,BOSC,theta
0.805896805896806,BOSC,theta
1,BOSC,theta
1,BOSC,theta
0.936117936117936,BOSC,theta
1,BOSC,theta
0.58968058968059,BOSC,theta
0,BOSC,theta
0.628992628992629,BOSC,theta
0.73955773955774,BOSC,theta
0.534398034398034,BOSC,theta
0.960687960687961,BOSC,theta
0.726044226044226,BOSC,theta
0.286240786240786,BOSC,theta
0.742014742014742,BOSC,theta
0.513513513513513,BOSC,theta
0.459459459459459,BOSC,theta
0.525798525798526,BOSC,theta
0.979115479115479,BOSC,theta
0.637592137592138,BOSC,theta
0.986486486486487,BOSC,theta
1,BOSC,theta
0.945945945945946,BOSC,theta
1,BOSC,theta
0.678132678132678,BOSC,theta
0.592137592137592,BOSC,theta
0.685503685503685,BOSC,theta
0.453316953316953,BOSC,theta
0.342751842751843,BOSC,theta
0.486486486486487,BOSC,theta
0.713759213759214,BOSC,theta
0.266584766584767,BOSC,theta
0.738329238329238,BOSC,theta
1,BOSC,theta
0.762899262899263,BOSC,theta
1,BOSC,theta
0.783783783783784,BOSC,theta
0.411547911547912,BOSC,theta
0.800982800982801,BOSC,theta
1,BOSC,theta
0.93980343980344,BOSC,theta
1,BOSC,theta
0.663390663390663,BOSC,theta
0,BOSC,theta
0.76044226044226,BOSC,theta
0.66953316953317,BOSC,theta
0.57985257985258,BOSC,theta
0.681818181818182,BOSC,theta
0.592137592137592,BOSC,theta
0.233415233415233,BOSC,theta
0.619164619164619,BOSC,theta
0.926289926289926,BOSC,theta
0.820638820638821,BOSC,theta
0.944717444717445,BOSC,theta
0.565110565110565,BOSC,theta
0,BOSC,theta
0.815724815724816,BOSC,theta
1,BOSC,theta
0.966830466830467,BOSC,theta
1,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0.888206388206388,BOSC,theta
0,BOSC,theta
0.900491400491401,BOSC,theta
0.818181818181818,BOSC,theta
0.636363636363636,BOSC,theta
0.839066339066339,BOSC,theta
0.804668304668305,BOSC,theta
0.504914004914005,BOSC,theta
0.862407862407862,BOSC,theta
0.593366093366093,BOSC,theta
0.264127764127764,BOSC,theta
0.622850122850123,BOSC,theta
1,BOSC,theta
0.936117936117936,BOSC,theta
1,BOSC,theta
0.654791154791155,BOSC,theta
0.357493857493857,BOSC,theta
0.717444717444717,BOSC,theta
0.238329238329238,BOSC,theta
0,BOSC,theta
0.26044226044226,BOSC,theta
0.653562653562654,BOSC,theta
0,BOSC,theta
0.657248157248157,BOSC,theta
0.540540540540541,BOSC,theta
0.421375921375921,BOSC,theta
0.583538083538084,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0,BOSC,theta
0.558968058968059,BOSC,theta
0.486486486486487,BOSC,theta
0.813267813267813,BOSC,theta
0.971744471744472,BOSC,theta
0.342751842751843,BOSC,theta
0.991400491400491,BOSC,theta
0.598280098280098,BOSC,theta
0.257985257985258,BOSC,theta
0.687960687960688,BOSC,theta
0.944717444717445,BOSC,theta
0.35995085995086,BOSC,theta
0.955773955773956,BOSC,theta
0,BOSC,theta
